,0
S1,0.5239455782312925
S2,0.41240362811791387
S1,1.9056916099773242
S2,1.8627437641723357
S1,3.356371882086168
S2,3.3135374149659866
S1,4.083673469387755
S2,4.038775510204082
S1,5.683242630385488
S2,5.478526077097506
S1,7.09172335600907
S2,6.928934240362812
S1,8.41092970521542
S2,8.368866213151927
S1,9.862222222222222
S2,9.819229024943311
S1,11.398049886621315
S2,11.26952380952381
S1,12.763265306122449
S2,12.709705215419502
S1,14.201927437641723
S2,14.159591836734695
S1,15.654126984126984
S2,15.610226757369615
S1,17.104036281179138
S2,17.050294784580498
S1,18.54358276643991
S2,18.500385487528344
S1,19.993378684807258
S2,19.950907029478458
S1,21.433151927437642
S2,21.390702947845806
S1,22.88482993197279
S2,22.84120181405896
S1,23.748480725623583
S2,23.744739229024944
S1,24.45231292517007
S2,24.448639455782313
S1,25.868185941043084
S2,25.731587301587304
S1,26.615487528344673
S2,26.611428571428572
S1,27.95124716553288
S2,27.90702947845805
S1,28.778956916099773
S2,28.772698412698414
S1,30.197845804988663
S2,30.07249433106576
S1,31.624761904761904
S2,31.522902494331067
S1,33.11936507936508
S2,32.97337868480726
S1,34.537460317460315
S2,34.41287981859411
S1,35.995283446712016
S2,35.86358276643991
S1,37.50369614512472
S2,37.31442176870748
S1,38.79643990929705
S2,38.754013605442175
S1,40.33444444444444
S2,40.20460317460318
S1,41.750680272108845
S2,41.64458049886621
S1,43.162131519274375
S2,43.09505668934241
S1,44.736757369614516
S2,44.54560090702948
S1,46.04315192743764
S2,45.98557823129252
S1,47.58902494331066
S2,47.4359410430839
S1,48.99750566893424
S2,48.88662131519275
S1,50.36990929705215
S2,50.326802721088434
S1,51.92621315192744
S2,51.777755102040814
S1,53.31340136054422
S2,53.22850340136055
S1,54.86390022675737
S2,54.66814058956916
S1,56.246145124716556
S2,56.118752834467124
S1,57.67403628117914
S2,57.55907029478458
S1,59.14922902494331
S2,59.008866213151926
S1,0.7206575963718821
S2,0.664172335600907
S1,1.522358276643991
S2,1.4657369614512472
S1,2.3243083900226758
S2,2.256734693877551
S1,3.126281179138322
S2,3.0582086167800453
S1,3.9280272108843537
S2,3.859750566893424
S1,4.717165532879819
S2,4.661269841269841
S1,5.519047619047619
S2,5.462721088435374
S1,6.320748299319728
S2,6.264285714285714
S1,7.122539682539682
S2,7.065804988662132
S1,7.924648526077098
S2,7.856575963718821
S1,8.726213151927437
S2,8.657868480725623
S1,9.515374149659864
S2,9.459433106575965
S1,10.317256235827665
S2,10.261065759637189
S1,11.118979591836736
S2,11.062517006802722
S1,11.920748299319728
S2,11.864126984126985
S1,12.722403628117915
S2,12.655034013605443
S1,13.524285714285714
S2,13.456439909297053
S1,14.326031746031747
S2,14.257823129251701
S1,15.115260770975057
S2,15.059229024943312
S1,15.917097505668934
S2,15.860793650793651
S1,16.718888888888888
S2,16.66219954648526
S1,17.520498866213153
S2,17.463809523809523
S1,18.322312925170067
S2,18.254421768707484
S1,19.123922902494332
S2,19.055895691609976
S1,19.913333333333334
S2,19.857392290249432
S1,20.714965986394557
S2,20.65888888888889
S1,21.516893424036283
S2,21.460385487528345
S1,22.318503401360545
S2,22.2618820861678
S1,23.120249433106576
