,0
S1,0.3682312925170068
S2,0.31235827664399096
S1,1.1765079365079365
S2,1.119795918367347
S1,1.9720861678004535
S2,1.9168027210884355
S1,2.7802267573696144
S2,2.7240362811791385
S1,3.588639455782313
S2,3.5317006802721087
S1,4.3841950113378685
S2,4.328480725623582
S1,5.19249433106576
S2,5.136031746031746
S1,5.988231292517007
S2,5.943696145124717
S1,6.796394557823129
S2,6.740430839002268
S1,7.604603174603175
S2,7.547823129251701
S1,8.400340136054423
S2,8.344784580498866
S1,9.208526077097506
S2,9.15219954648526
S1,10.01684807256236
S2,9.959750566893424
S1,10.81233560090703
S2,10.756507936507937
S1,11.620544217687074
S2,11.56390022675737
S1,12.416122448979593
S2,12.360884353741497
S1,13.224263038548752
S2,13.168095238095239
S1,14.032562358276644
S2,13.975646258503401
S1,14.8281179138322
S2,14.772403628117914
S1,15.636213151927437
S2,15.57968253968254
S1,16.4318820861678
S2,16.38732426303855
S1,17.239977324263037
S2,17.18394557823129
S1,18.048367346938775
S2,17.99151927437642
S1,18.843968253968253
S2,18.7884126984127
S1,19.65219954648526
S2,19.59580498866213
S1,20.460385487528345
S2,20.40328798185941
S1,21.25575963718821
S2,21.199886621315194
S1,22.06390022675737
S2,22.007142857142856
S1,22.85938775510204
S2,22.80392290249433
S1,23.667324263038548
S2,23.61106575963719
S1,24.475578231292516
S2,24.418480725623585
S1,25.270884353741497
S2,25.215011337868482
S1,26.078820861678004
S2,26.02215419501134
S1,26.87421768707483
S2,26.81907029478458
S1,27.68215419501134
S2,27.626009070294785
S1,28.49015873015873
S2,28.43326530612245
S1,29.28546485260771
S2,29.229750566893426
S1,30.09342403628118
S2,30.036961451247166
S1,30.888820861678006
S2,30.844308390022675
S1,31.696598639455782
S2,31.640566893424037
S1,32.50462585034013
S2,32.44777777777778
S1,33.299886621315196
S2,33.24433106575964
S1,34.10755102040817
S2,34.051315192743765
S1,34.91546485260771
S2,34.858321995464856
S1,35.71045351473923
S2,35.65455782312925
S1,36.51816326530612
S2,36.461451247165535
S1,37.31328798185941
S2,37.25791383219955
S1,38.12083900226757
S2,38.06467120181406
S1,38.92868480725624
S2,38.87160997732426
S1,39.723514739229024
S2,39.667755102040815
S1,40.53124716553288
S2,40.47462585034014
S1,41.32634920634921
S2,41.27108843537415
S1,42.13383219954649
S2,42.077619047619045
S1,42.941587301587305
S2,42.8846485260771
S1,43.7365306122449
S2,43.68074829931973
S1,44.543945578231295
S2,44.487414965986396
S1,45.3387074829932
S2,45.28342403628118
S1,46.14607709750567
S2,46.08997732426304
S1,46.95383219954648
S2,46.8968253968254
S1,47.74859410430839
S2,47.69281179138322
S1,48.556281179138324
S2,48.49965986394558
S1,49.351292517006804
S2,49.29600907029479
S1,50.15873015873016
S2,50.10263038548753
S1,50.966417233560094
S2,50.90938775510204
S1,51.76124716553288
S2,51.70548752834467
S1,52.568775510204084
S2,52.51222222222222
S1,53.36369614512472
S2,53.308684807256235
S1,54.17120181405896
S2,54.11507936507937
S1,54.978820861678
S2,54.921836734693876
S1,55.77358276643991
S2,55.71786848072563
S1,56.58108843537415
S2,56.52471655328798
S1,57.376009070294785
S2,57.33156462585034
S1,58.18337868480726
S2,58.12730158730159
S1,58.99083900226758
S2,58.934013605442175
S1,59.78551020408163
S2,59.72993197278912
S1,60.59267573696145
S2,60.53634920634921
S1,61.38727891156463
S2,61.3427664399093
S1,62.19439909297052
S2,62.138390022675736
S1,63.001609977324264
S2,62.94485260770975
S1,63.79600907029479
S2,63.740521541950116
S1,64.60315192743764
S2,64.54687074829933
S1,65.39777777777778
S2,65.35328798185941
S1,66.20476190476191
S2,66.14884353741496
S1,67.01190476190476
S2,66.95519274376417
S1,67.8064172335601
S2,67.75097505668934
