,0
S1,0.34780045351473926
S2,0.2622675736961451
S1,1.1698639455782314
S2,1.067845804988662
S1,1.9165079365079365
S2,1.8847845804988663
S1,2.798934240362812
S2,2.6904535147392292
S1,3.5390702947845805
S2,3.5074149659863947
S1,4.356417233560091
S2,4.312993197278912
S1,5.161473922902495
S2,5.129863945578231
S1,6.039931972789116
S2,5.935804988662132
S1,6.858049886621315
S2,6.752426303854875
S1,7.601428571428571
S2,7.558253968253968
S1,8.480589569160998
S2,8.37501133786848
S1,9.281814058956916
S2,9.192086167800454
S1,10.099659863945579
S2,9.997551020408164
S1,10.89904761904762
S2,10.814603174603175
S1,11.716621315192745
S2,11.619909297052155
S1,12.468684807256237
S2,12.436916099773242
S1,13.34201814058957
S2,13.242403628117914
S1,14.090975056689343
S2,14.059229024943312
S1,14.970566893424037
S2,14.864807256235828
S1,15.784807256235828
S2,15.681678004535147
S1,16.588208616780047
S2,16.487392290249435
S1,17.335782312925172
S2,17.304126984126984
S1,18.21108843537415
S2,18.109795918367347
S1,19.021496598639455
S2,18.926462585034013
S1,19.851791383219954
S2,19.732312925170067
S1,20.580362811791385
S2,20.548956916099772
S1,21.45902494331066
S2,21.354716553287982
S1,22.215102040816326
S2,22.171451247165532
S1,23.07174603174603
S2,22.988503401360546
S1,23.837414965986394
S2,23.793968253968256
S1,24.705192743764172
S2,24.61092970521542
S1,25.511292517006805
S2,25.416371882086167
S1,26.33260770975057
S2,26.233287981859412
S1,27.082290249433107
S2,27.038934240362813
S1,27.963265306122448
S2,27.85562358276644
S1,28.704580498866214
S2,28.66124716553288
S1,29.58607709750567
S2,29.478072562358278
S1,30.32698412698413
S2,30.28369614512472
S1,31.20045351473923
S2,31.100544217687077
S1,32.012471655328795
S2,31.90621315192744
S1,32.766666666666666
S2,32.723015873015875
S1,33.631292517006806
S2,33.54009070294784
S1,34.449274376417236
S2,34.34548752834467
S1,35.19408163265306
S2,35.16226757369615
S1,36.0637641723356
S2,35.96780045351474
S1,36.816326530612244
S2,36.78458049886621
S1,37.69374149659864
S2,37.59009070294785
S1,38.50541950113379
S2,38.40691609977324
S1,39.318163265306126
S2,39.21251700680272
S1,40.11990929705215
S2,40.02925170068027
S1,40.878185941043085
S2,40.8349433106576
S1,41.761972789115646
S2,41.65156462585034
S1,42.557868480725624
S2,42.45723356009071
S1,43.38619047619048
S2,43.273968253968256
S1,44.19487528344671
S2,44.09079365079365
S1,44.990589569160996
S2,44.89616780045352
S1,45.8162358276644
S2,45.71310657596372
S1,46.62108843537415
S2,46.51850340136055
S1,47.459002267573695
S2,47.3734693877551
S1,48.28106575963719
S2,48.17904761904762
S1,49.02770975056689
S2,48.99596371882086
S1,49.91013605442177
S2,49.801655328798184
S1,50.65027210884354
S2,50.61861678004535
S1,51.467619047619046
S2,51.42419501133787
S1,52.27267573696145
S2,52.24106575963719
S1,53.15113378684807
S2,53.04700680272109
S1,53.969251700680275
S2,53.863628117913834
S1,54.71263038548753
S2,54.66945578231292
S1,55.591791383219956
S2,55.48621315192744
S1,56.39301587301588
S2,56.30328798185941
S1,57.210861678004534
S2,57.10875283446712
S1,58.01024943310658
S2,57.92580498866213
S1,58.827823129251705
S2,58.731088435374154
S1,59.5798866213152
S2,59.5481179138322
